,Nazwa waluty,Kurs średni,Symbol i wartość
PLN,złoty,1.0,1 PLN
THB,,0.1214,1 THB
USD,,3.7978,1 USD
AUD,,2.9397,1 AUD
HKD,,0.4889,1 HKD
CAD,,3.0341,1 CAD
NZD,,2.7193,1 NZD
SGD,,2.8469,1 SGD
EUR,,4.5481,1 EUR
HUF,,1.2604,100 HUF
CHF,,4.1279,1 CHF
GBP,,5.2235,1 GBP
UAH,,0.1358,1 UAH
JPY,,3.4881,100 JPY
CZK,,0.1755,1 CZK
DKK,,0.6115,1 DKK
ISK,,2.9981,100 ISK
NOK,,0.4528,1 NOK
SEK,,0.4501,1 SEK
HRK,,0.6011,1 HRK
RON,,0.9233,1 RON
BGN,,2.3254,1 BGN
TRY,,0.4716,1 TRY
ILS,,1.1579,1 ILS
CLP,,0.5437,100 CLP
PHP,,0.0786,1 PHP
MXN,,0.1903,1 MXN
ZAR,,0.2665,1 ZAR
BRL,,0.6762,1 BRL
MYR,,0.9202,1 MYR
RUB,,0.0502,1 RUB
IDR,,2.6075,10000 IDR
INR,,5.1036,100 INR
KRW,,0.3409,100 KRW
CNY,,0.5822,1 CNY
XDR,,5.4281,1 XDR
